bin_180    92.9277 -45.2425 1601
bin_181    92.9277 -38.4725 1589
bin_182    87.0819 -51.8027 1127
bin_183    113.237 -31.7027 1955
bin_184    109.95 -29.6065 1952
bin_185    82.8706 -49.9157 1124
bin_186    89.6407 -49.9162 1610
bin_187    106.467 -31.702 1841
bin_188    103.18 -29.6057 1838
bin_189    99.6978 -31.7025 1715
bin_190    96.4108 -29.6062 1712
bin_191    92.9277 -31.7025 1577
bin_192    89.6407 -43.1463 1598
bin_193    86.1455 -44.8199 1049
bin_194    76.1009 -90.5362 1652
bin_195    76.1009 -83.7663 1508
bin_196    79.3879 -85.8625 1511
bin_197    79.5975 -79.1354 1433
bin_198    76.1002 -43.1463 1040
bin_199    72.618 -92.6325 1643
bin_200    76.1009 -76.9962 1430
bin_201    72.618 -85.8625 1505
bin_202    69.3309 -90.5362 1640
bin_203    1.63117 -43.1461 974
bin_204    79.3879 -38.4725 965
bin_205    70.6862 -82.0447 1502
bin_206    42.2512 -76.996 1400
bin_207    35.4805 -83.7658 1472
bin_208    79.3755 -72.3285 1355
bin_209    28.7109 -90.5363 1568
bin_210    35.4805 -56.6859 1160
bin_211    76.1009 -70.2263 1352
bin_212    31.9979 -58.7826 1157
bin_213    55.7912 -56.686 1178
bin_214    49.0212 -56.686 1172
bin_215    42.2512 -56.686 1166
bin_216    52.3082 -58.7822 1175
bin_217    45.5382 -58.7822 1169
bin_218    77.0209 -65.845 1277
bin_219    38.7676 -58.7821 1163
bin_220    35.4805 -63.4559 1238
bin_221    31.9979 -65.5526 1235
bin_222    76.1009 -63.4562 1274
bin_223    28.7109 -70.2263 1310
bin_224    25.2279 -72.3226 1307
bin_225    59.0782 -58.7822 1181
bin_226    21.9409 -76.9964 1382
bin_227    18.4578 -79.0919 1379
bin_228    15.1708 -43.1457 986
bin_229    76.6706 -59.4706 1199
bin_230    18.4578 -38.4719 911
bin_231    25.2279 -38.4726 917
bin_232    76.1009 -56.6863 1196
bin_233    31.9979 -38.4726 923
bin_234    38.7676 -38.4721 929
bin_235    45.5382 -38.4723 935
bin_236    52.3082 -38.4723 941
bin_237    59.0782 -38.4723 947
bin_238    11.6882 -38.4723 905
bin_239    4.91818 -38.4723 899
bin_240    77.3085 -52.1307 1121
bin_241    15.1708 -83.7656 1454
bin_242    42.2512 -63.456 1244
bin_243    76.1009 -49.9161 1118
bin_244    49.0212 -63.456 1250
bin_245    55.7912 -63.456 1256
bin_246    52.3082 -65.5522 1253
bin_247    45.5382 -65.5522 1247
bin_248    38.7676 -65.5521 1241
bin_249    69.1993 -43.6416 1034
bin_250    77.4818 -45.0429 1043
bin_251    72.618 -38.4725 959
bin_252    42.2512 -90.5361 1592
bin_253    38.7676 -99.4021 1721
bin_254    65.8479 -85.8618 1499
bin_255    73.1336 -79.0496 1427
bin_256    65.8479 -92.6318 1631
bin_257    69.3309 -97.3062 1778
bin_258    69.3309 -76.9962 1424
bin_259    65.8479 -99.4018 1769
bin_260    62.5608 -104.076 1892
bin_261    62.5608 -97.3055 1766
bin_262    62.5608 -90.5356 1628
bin_263    62.5608 -83.7655 1496
bin_264    59.0782 -106.172 1883
bin_265    73.0281 -72.3417 1349
bin_266    59.0782 -99.4023 1757
bin_267    59.0782 -92.6323 1619
bin_268    59.0782 -85.8623 1493
bin_269    69.3309 -70.2261 1346
bin_270    55.7912 -104.076 1880
bin_271    55.7912 -97.306 1754
bin_272    55.7912 -90.5361 1616
bin_273    52.3082 -106.172 1871
bin_274    52.3082 -99.4023 1745
bin_275    52.3082 -92.6323 1607
bin_276    49.0212 -104.076 1868
bin_277    73.1399 -65.101 1271
bin_278    49.0212 -97.306 1742
bin_279    45.5382 -106.172 1859
bin_280    69.3309 -63.4561 1268
bin_281    45.5382 -99.4023 1733
bin_282    49.0212 -90.5361 1604
bin_283    52.3082 -85.8623 1487
bin_284    55.7912 -83.766 1490
bin_285    42.2512 -110.846 1970
bin_286    42.2512 -104.076 1856
bin_287    73.0135 -58.55 1193
bin_288    42.2512 -97.306 1730
bin_289    45.5382 -92.6323 1595
bin_290    69.3309 -56.6863 1190
bin_291    45.5382 -85.8623 1481
bin_292    38.7676 -112.942 1961
bin_293    31.9979 -112.943 1949
bin_294    35.4805 -110.846 1958
bin_295    38.7676 -106.172 1847
bin_296    18.4578 -119.712 2003
bin_297    15.1708 -117.616 2000
bin_298    70.8815 -52.4064 1115
bin_299    21.9409 -117.616 2012
bin_300    18.4578 -112.942 1925
bin_301    69.3309 -49.9161 1112
bin_302    25.2279 -112.943 1937
bin_303    15.1708 -110.846 1922
bin_304    21.9409 -110.846 1934
bin_305    28.7109 -110.846 1946
bin_306    18.4578 -106.172 1811
bin_307    25.2279 -106.173 1823
bin_308    31.9979 -106.173 1835
bin_309    70.8451 -45.0975 1037
bin_310    52.3082 -79.0923 1409
bin_311    59.0782 -79.0923 1415
bin_312    11.6882 -119.712 1991
bin_313    66.4749 -77.8699 1421
bin_314    8.40115 -117.616 1988
bin_315    11.6882 -112.942 1913
bin_316    62.5608 -76.9955 1418
bin_317    4.91818 -119.712 1979
bin_318    4.91818 -106.172 1787
bin_319    11.6882 -106.172 1799
bin_320    18.4578 -99.4019 1685
bin_321    25.2279 -92.6326 1559
bin_322    31.9979 -85.8626 1469
bin_323    38.7676 -79.0921 1397
bin_324    64.4836 -72.5697 1343
bin_325    1.63117 -104.076 1784
bin_326    62.5608 -70.2255 1340
bin_327    8.40115 -104.076 1796
bin_328    4.91818 -99.4024 1661
bin_329    11.6882 -99.4024 1673
bin_330    1.63117 -97.3061 1658
bin_331    8.40115 -97.3061 1670
bin_332    11.6882 -92.6324 1535
bin_333    4.91818 -92.6324 1523
bin_334    64.5702 -66.3603 1265
bin_335    1.63117 -90.5361 1520
bin_336    8.40115 -90.5361 1532
bin_337    62.5608 -63.4555 1262
bin_338    11.6882 -85.8623 1451
bin_339    4.91818 -85.8623 1445
bin_340    1.63117 -83.7661 1442
bin_341    8.40115 -83.7661 1448
bin_342    11.6882 -79.0923 1373
bin_343    4.91818 -79.0923 1367
bin_344    1.63117 -76.9961 1364
bin_345    64.3667 -58.1968 1187
bin_346    8.40115 -76.9961 1370
bin_347    62.5608 -56.6855 1184
bin_348    11.6882 -72.3224 1295
bin_349    4.91818 -72.3224 1289
bin_350    1.92551 -69.2196 1286
bin_351    8.40115 -70.2261 1292
bin_352    11.6882 -65.5523 1217
bin_353    4.91818 -65.5523 1211
bin_354    1.63117 -63.4561 1208
bin_355    8.40115 -63.4561 1214
bin_356    64.6239 -51.3709 1109
bin_357    11.6882 -58.7824 1139
bin_358    4.91818 -58.7824 1133
bin_359    62.5608 -49.9156 1106
bin_360    1.63117 -56.6861 1130
bin_361    8.40115 -56.6861 1136
bin_362    11.6882 -52.0124 1061
bin_363    4.91818 -52.0124 1055
bin_364    1.63117 -49.9161 1052
bin_365    11.6882 -45.2423 983
bin_366    64.5876 -45.2446 1031
bin_367    62.5608 -43.1455 1028
bin_368    79.0919 11.6881 50
bin_369    72.3219 11.6881 48
bin_370    21.9409 -2.52634 524
bin_371    25.2279 -4.62259 527
bin_372    28.7109 -2.52634 530
bin_373    70.2256 8.40101 47
bin_374    8.40115 -9.29613 590
bin_375    11.6882 -11.3924 593
bin_376    70.3508 5.96754 22
bin_377    70.3403 13.7982 73
bin_378    15.1708 -9.29567 596
bin_379    18.4578 -11.3919 599
bin_380    21.9409 -9.29636 602
bin_381    70.2256 1.63107 21
bin_382    28.7109 -9.29636 608
bin_383    31.9979 -4.62259 533
